Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.455721904000000,105,0x6A,0x44,Read,NAK
0.464027984000000,106,0x6A,0x0A,Write,ACK
0.464360328000000,107,0x6A,0x93,Read,NAK
0.472666800000000,108,0x6A,0x0B,Write,ACK
0.472991352000000,109,0x6A,0x02,Read,NAK
0.481297408000000,110,0x6A,0x0C,Write,ACK
0.481624576000000,111,0x6A,0x80,Read,NAK
0.492182056000000,112,0x6A,0x0D,Write,ACK
0.492506624000000,113,0x6A,0x13,Read,NAK
0.500812720000000,114,0x6A,0x0E,Write,ACK
0.501139888000000,115,0x6A,0x00,Read,NAK
0.509446176000000,116,0x6A,0x0F,Write,ACK
0.509765552000000,117,0x6A,0x00,Read,NAK
0.518071776000000,118,0x6A,0x10,Write,ACK
0.518398936000000,119,0x6A,0x00,Read,NAK
0.526705080000000,120,0x6A,0x11,Write,ACK
0.527029624000000,121,0x6A,0x00,Read,NAK
0.535335384000000,122,0x6A,0x12,Write,ACK
0.535667712000000,123,0x6A,0x00,Read,NAK
0.543973544000000,124,0x6A,0x13,Write,ACK
0.544298088000000,125,0x6A,0x08,Read,NAK
0.552603944000000,126,0x6A,0x14,Write,ACK
0.552936272000000,127,0x6A,0x39,Read,NAK
0.561247320000000,128,0x6A,0x00,Write,ACK
0.561569280000000,129,0x6A,0x48,Read,NAK
0.569875176000000,130,0x6A,0x01,Write,ACK
0.570197120000000,131,0x6A,0x05,Read,NAK
0.578503016000000,132,0x6A,0x02,Write,ACK
0.578830152000000,133,0x6A,0x3D,Read,NAK
0.587136136000000,134,0x6A,0x03,Write,ACK
0.587458112000000,135,0x6A,0x3A,Read,NAK
0.595764088000000,136,0x6A,0x04,Write,ACK
0.596091232000000,137,0x6A,0x20,Read,NAK
0.604397048000000,138,0x6A,0x05,Write,ACK
0.604724192000000,139,0x6A,0x13,Read,NAK
0.613030296000000,140,0x6A,0x06,Write,ACK
0.613357440000000,141,0x6A,0x5E,Read,NAK
0.621663400000000,142,0x6A,0x07,Write,ACK
0.621985344000000,143,0x6A,0x9D,Read,NAK
0.630291288000000,144,0x6A,0x08,Write,ACK
0.630618432000000,145,0x6A,0x03,Read,NAK
0.638924344000000,146,0x6A,0x09,Write,ACK
0.639251512000000,147,0x6A,0x44,Read,NAK
0.647557704000000,148,0x6A,0x0A,Write,ACK
0.647890064000000,149,0x6A,0x93,Read,NAK
0.656196144000000,150,0x6A,0x0B,Write,ACK
0.656523296000000,151,0x6A,0x02,Read,NAK
0.664829240000000,152,0x6A,0x0C,Write,ACK
0.665156384000000,153,0x6A,0x80,Read,NAK
0.673462376000000,154,0x6A,0x0D,Write,ACK
0.673789528000000,155,0x6A,0x13,Read,NAK
0.682095568000000,156,0x6A,0x0E,Write,ACK
0.682422712000000,157,0x6A,0x00,Read,NAK
0.690728528000000,158,0x6A,0x0F,Write,ACK
0.691050480000000,159,0x6A,0x00,Read,NAK
0.699356344000000,160,0x6A,0x10,Write,ACK
0.699683488000000,161,0x6A,0x00,Read,NAK
0.707989464000000,162,0x6A,0x11,Write,ACK
0.708316608000000,163,0x6A,0x00,Read,NAK
0.716622096000000,164,0x6A,0x12,Write,ACK
0.716954432000000,165,0x6A,0x00,Read,NAK
0.725260272000000,166,0x6A,0x13,Write,ACK
0.725587416000000,167,0x6A,0x08,Read,NAK
0.737014304000000,168,0x6A,0x14,Write,ACK
0.737346656000000,169,0x6A,0x39,Read,NAK
0.745657840000000,170,0x6A,0x00,Write,ACK
0.745977216000000,171,0x6A,0x48,Read,NAK
0.754283312000000,172,0x6A,0x01,Write,ACK
0.754605272000000,173,0x6A,0x05,Read,NAK
0.762911320000000,174,0x6A,0x02,Write,ACK
0.763235880000000,175,0x6A,0x3D,Read,NAK
0.771541880000000,176,0x6A,0x03,Write,ACK
0.771863856000000,177,0x6A,0x3A,Read,NAK
0.780169960000000,178,0x6A,0x04,Write,ACK
0.780494504000000,179,0x6A,0x20,Read,NAK
0.788800376000000,180,0x6A,0x05,Write,ACK
0.789127528000000,181,0x6A,0x13,Read,NAK
0.797433480000000,182,0x6A,0x06,Write,ACK
0.797758024000000,183,0x6A,0x5E,Read,NAK
0.806064048000000,184,0x6A,0x07,Write,ACK
0.806386000000000,185,0x6A,0x9D,Read,NAK
0.814692120000000,186,0x6A,0x08,Write,ACK
0.815016696000000,187,0x6A,0x03,Read,NAK
0.823322736000000,188,0x6A,0x09,Write,ACK
0.823649880000000,189,0x6A,0x44,Read,NAK
0.831956136000000,190,0x6A,0x0A,Write,ACK
0.832285880000000,191,0x6A,0x93,Read,NAK
0.840591992000000,192,0x6A,0x0B,Write,ACK
0.840919152000000,193,0x6A,0x02,Read,NAK
0.849225376000000,194,0x6A,0x0C,Write,ACK
0.849549936000000,195,0x6A,0x80,Read,NAK
0.857855960000000,196,0x6A,0x0D,Write,ACK
0.858183120000000,197,0x6A,0x13,Read,NAK
0.866489288000000,198,0x6A,0x0E,Write,ACK
0.866813848000000,199,0x6A,0x00,Read,NAK
0.875119968000000,200,0x6A,0x0F,Write,ACK
0.875441928000000,201,0x6A,0x00,Read,NAK
0.883748072000000,202,0x6A,0x10,Write,ACK
0.884072640000000,203,0x6A,0x00,Read,NAK
0.892378776000000,204,0x6A,0x11,Write,ACK
0.892705952000000,205,0x6A,0x00,Read,NAK
0.901011920000000,206,0x6A,0x12,Write,ACK
0.901341664000000,207,0x6A,0x00,Read,NAK
0.909647712000000,208,0x6A,0x13,Write,ACK
0.909974872000000,209,0x6A,0x08,Read,NAK
0.918280872000000,210,0x6A,0x14,Write,ACK
0.918610616000000,211,0x6A,0x39,Read,NAK
0.926921720000000,212,0x6A,0x00,Write,ACK
0.927243688000000,213,0x6A,0x48,Read,NAK
0.935549784000000,214,0x6A,0x01,Write,ACK
0.935871744000000,215,0x6A,0x05,Read,NAK
0.944177872000000,216,0x6A,0x02,Write,ACK
0.944505040000000,217,0x6A,0x3D,Read,NAK
0.952811184000000,218,0x6A,0x03,Write,ACK
